date,pcr_test,new_cases,acumulated_cases,positivity_pctg,death,total_death,daily_recovered,total_recovered
2020-03-09,105,1,1,0.01,0,0,,
2020-03-10,41,7,8,0.17,1,1,,
2020-03-11,48,6,14,0.13,0,1,,
2020-03-12,207,13,27,0.06,0,1,,
2020-03-13,248,9,36,0.04,0,1,,
2020-03-14,208,7,43,0.03,0,1,,
2020-03-15,119,12,55,0.1,0,1,,
2020-03-16,97,14,69,0.14,0,1,,
2020-03-17,172,17,86,0.1,0,1,,
2020-03-18,210,23,109,0.11,0,1,,
2020-03-19,313,28,137,0.09,0,1,,
2020-03-20,401,63,200,0.16,0,1,,
2020-03-21,303,45,245,0.15,2,3,,
2020-03-22,627,68,313,0.11,0,3,,
2020-03-23,134,32,345,0.24,3,6,,
2020-03-24,457,98,443,0.21,2,8,,
2020-03-25,558,115,558,0.21,0,8,,
2020-03-26,608,116,674,0.19,1,9,,
2020-03-27,366,112,786,0.31,5,14,,
2020-03-28,540,115,901,0.21,3,17,,
2020-03-29,398,88,989,0.22,7,24,,
2020-03-30,422,86,1075,0.2,3,27,,
2020-03-31,362,106,1181,0.29,3,30,,
2020-04-01,389,136,1317,0.35,2,32,,
2020-04-02,608,158,1475,0.26,5,37,,
2020-04-03,753,198,1673,0.26,4,41,,
2020-04-04,562,128,1801,0.23,5,46,,
2020-04-05,443,187,1988,0.42,8,54,,
2020-04-06,515,112,2100,0.22,1,55,,
2020-04-07,467,149,2249,0.32,4,59,,
2020-04-08,1095,279,2528,0.25,4,63,,
2020-04-09,807,224,2752,0.28,3,66,,
2020-04-10,1065,222,2974,0.21,8,74,,
2020-04-11,940,260,3234,0.28,5,79,,
2020-04-12,559,166,3400,0.3,8,87,,
2020-04-13,420,72,3472,0.17,7,94,,
2020-04-14,486,102,3574,0.21,1,95,,
2020-04-15,801,177,3751,0.22,8,103,,
2020-04-16,996,265,4016,0.27,6,109,,
2020-04-17,709,194,4210,0.27,7,116,,
2020-04-18,532,63,4273,0.12,4,120,,
2020-04-19,1046,194,4467,0.19,6,126,,
2020-04-20,859,191,4658,0.22,10,136,,
2020-04-21,906,163,4821,0.18,5,141,,
2020-04-22,800,171,4992,0.21,3,144,,
2020-04-23,832,174,5166,0.21,2,146,,
2020-04-24,770,172,5338,0.22,8,154,,
2020-04-25,1096,200,5538,0.18,5,159,,
2020-04-26,1242,241,5779,0.19,6,165,,
2020-04-27,1192,242,6021,0.2,2,167,,
2020-04-28,961,179,6200,0.19,9,176,,
2020-04-29,1042,178,6378,0.17,2,178,,
2020-04-30,912,154,6532,0.17,10,188,,
2020-05-01,1146,188,6720,0.16,4,192,,
2020-05-02,1459,370,7090,0.25,5,197,,
2020-05-03,1105,107,7197,0.1,3,200,,
2020-05-04,1097,190,7387,0.17,3,203,,
2020-05-05,927,136,7523,0.15,7,210,,
2020-05-06,1531,208,7731,0.14,8,218,,
2020-05-07,1079,137,7868,0.13,7,225,,
2020-05-08,1263,202,8070,0.16,6,231,,
2020-05-09,1293,212,8282,0.16,6,237,,
2020-05-10,1008,166,8448,0.16,7,244,,
2020-05-11,1006,168,8616,0.17,5,249,,
2020-05-12,988,167,8783,0.17,3,252,,
2020-05-13,1222,161,8944,0.13,4,256,,
2020-05-14,1025,174,9118,0.17,4,260,,
2020-05-15,870,150,9268,0.17,6,266,,
2020-05-16,1336,181,9449,0.14,3,269,,
2020-05-17,1244,157,9606,0.13,6,275,,
2020-05-18,757,120,9726,0.16,4,279,,
2020-05-19,710,141,9867,0.2,2,281,,
2020-05-20,826,110,9977,0.13,6,287,,
2020-05-21,1287,139,10116,0.11,4,291,,
2020-05-22,1090,151,10267,0.14,4,295,,
2020-05-23,1737,310,10577,0.18,4,299,,
2020-05-24,1485,349,10926,0.24,7,306,,
2020-05-25,1099,257,11183,0.23,4,310,,
2020-05-26,1259,264,11447,0.21,3,313,,
2020-05-27,1297,281,11728,0.22,2,315,,
2020-05-28,1307,403,12131,0.31,5,320,,
2020-05-29,1439,400,12531,0.28,6,326,,
2020-05-30,1551,487,13018,0.31,4,330,,
2020-05-31,1538,445,13463,0.29,6,336,,
2020-06-01,905,374,13837,0.41,8,344,,
2020-06-02,848,258,14095,0.3,8,352,,
2020-06-03,1656,514,14609,0.31,5,357,,
2020-06-04,1558,435,15044,0.28,6,363,,
2020-06-05,1534,419,15463,0.27,7,370,,
2020-06-06,1772,541,16004,0.31,16,386,,
2020-06-07,1589,421,16425,0.26,7,393,,
2020-06-08,1676,429,16854,0.26,5,398,,
2020-06-09,1452,379,17233,0.26,5,403,,
2020-06-10,2054,656,17889,0.32,10,413,,
2020-06-11,2233,697,18586,0.31,5,418,,
2020-06-12,2034,625,19211,0.31,3,421,,
2020-06-13,2695,848,20059,0.31,8,429,,
2020-06-14,1901,627,20686,0.33,8,437,,
2020-06-15,2009,736,21422,0.37,11,448,,
2020-06-16,1653,540,21962,0.33,9,457,,
2020-06-17,2103,635,22597,0.3,13,470,,
2020-06-18,2468,754,23351,0.31,5,475,,
2020-06-19,2833,923,24274,0.33,10,485,,
2020-06-20,2767,948,25222,0.34,8,493,,
2020-06-21,2433,808,26030,0.33,8,501,,
2020-06-22,2087,722,26752,0.35,20,521,,
2020-06-23,1745,562,27314,0.32,15,536,,
2020-06-24,2307,716,28030,0.31,11,547,,
2020-06-25,3224,1007,29037,0.31,17,564,,
2020-06-26,3037,868,29905,0.29,11,575,,
2020-06-27,2365,753,30658,0.32,17,592,,
2020-06-28,2902,1028,31686,0.35,12,604,,
2020-06-29,3225,1099,32785,0.34,16,620,,
2020-06-30,1981,765,33550,0.39,11,631,,
2020-07-01,2673,913,34463,0.34,14,645,,
2020-07-02,2352,774,35237,0.33,22,667,,
2020-07-03,2280,758,35995,0.33,31,698,,
2020-07-04,3202,988,36983,0.31,22,720,,
2020-07-05,3635,1166,38149,0.32,27,747,,
2020-07-06,3197,1185,39334,0.37,23,770,,
2020-07-07,2427,957,40291,0.39,29,799,,
2020-07-08,2606,960,41251,0.37,20,819,,
2020-07-09,2457,965,42216,0.39,20,839,,
2020-07-10,3064,1041,43257,0.34,24,863,,
2020-07-11,2797,1075,44332,0.38,30,893,,
2020-07-12,3461,1301,45633,0.38,16,909,,
2020-07-13,3590,1540,47173,0.43,23,932,,
2020-07-14,2599,923,48096,0.36,28,960,,
2020-07-15,3229,1147,49243,0.36,22,982,,
2020-07-16,3498,1130,50373,0.32,18,1000,,
2020-07-17,2971,1035,51408,0.35,38,1038,,
2020-07-18,2447,853,52261,0.35,33,1071,,
2020-07-19,3780,1207,53468,0.32,25,1096,,
2020-07-20,2900,958,54426,0.33,31,1127,,
2020-07-21,2144,727,55153,0.34,32,1159,,
2020-07-22,2514,753,55906,0.3,21,1180,,
2020-07-23,3006,911,56817,0.3,29,1209,,
2020-07-24,3381,1176,57993,0.35,41,1250,,
2020-07-25,2614,871,58864,0.33,25,1275,,
2020-07-26,4308,1432,60296,0.33,19,1294,,
2020-07-27,3465,1146,61442,0.33,28,1322,,
2020-07-28,2224,781,62223,0.35,27,1349,,
2020-07-29,3133,1046,63269,0.33,25,1374,,
2020-07-30,3212,922,64191,0.29,23,1397,,
2020-07-31,3048,1065,65256,0.35,24,1421,,
2020-08-01,3606,1127,66383,0.31,28,1449,,
2020-08-02,3235,1070,67453,0.33,22,1471,,
2020-08-03,2683,1003,68456,0.37,26,1497,,
2020-08-04,2440,968,69424,0.4,25,1522,,
2020-08-05,2535,807,70231,0.32,31,1553,,
2020-08-06,3506,1187,71418,0.34,21,1574,,
2020-08-07,3285,1142,72560,0.35,17,1591,,
2020-08-08,2932,1091,73651,0.37,18,1609,,
2020-08-09,2768,841,74492,0.3,30,1639,,
2020-08-10,2401,857,75349,0.36,25,1664,,
2020-08-11,3037,1115,76464,0.37,16,1680,,
2020-08-12,2806,913,77377,0.33,23,1703,,
2020-08-13,3126,1069,78446,0.34,19,1722,,
2020-08-14,2696,956,79402,0.35,12,1734,,
2020-08-15,4134,1263,80665,0.31,12,1746,,
2020-08-16,3306,1275,81940,0.39,21,1767,,
2020-08-17,2199,603,82543,0.27,21,1788,,
2020-08-18,2704,598,83141,0.22,21,1809,,
2020-08-19,5843,964,84105,0.16,18,1827,,
2020-08-20,5068,842,84947,0.17,17,1844,,
2020-08-21,4600,817,85764,0.18,15,1859,,
2020-08-22,5551,1143,86907,0.21,19,1878,,
2020-08-23,7579,1420,88327,0.19,14,1892,,
2020-08-24,3405,585,88912,0.17,14,1906,,
2020-08-25,4907,896,89808,0.18,13,1919,,
2020-08-26,3814,701,90509,0.18,13,1932,,
2020-08-27,4326,900,91409,0.21,16,1948,,
2020-08-28,5115,642,92051,0.13,18,1966,,
2020-08-29,4786,713,92764,0.15,17,1983,,
2020-08-30,2914,728,93492,0.25,12,1995,,
2020-08-31,5596,917,94409,0.16,7,2002,,
2020-09-01,3514,570,94979,0.16,16,2018,,
2020-09-02,3740,532,95511,0.14,12,2030,,
2020-09-03,3522,830,96341,0.24,16,2046,,
2020-09-04,5100,682,97023,0.13,17,2063,,
2020-09-05,5412,709,97732,0.13,12,2075,,
2020-09-06,4949,738,98470,0.15,11,2086,,
2020-09-07,3290,535,99005,0.16,13,2099,,
2020-09-08,5179,829,99834,0.16,8,2107,,
2020-09-09,4851,635,100469,0.13,9,2116,,
2020-09-10,5075,673,101142,0.13,11,2127,,
2020-09-11,5007,615,101757,0.12,13,2140,,
2020-09-12,5196,711,102468,0.14,15,2155,,
2020-09-13,4469,704,103172,0.16,11,2166,,
2020-09-14,2875,459,103631,0.16,7,2173,,
2020-09-15,4740,628,104259,0.13,14,2187,,
2020-09-16,5453,634,104893,0.12,11,2198,,
2020-09-17,5355,672,105565,0.13,15,2213,,
2020-09-18,5434,741,106306,0.14,16,2229,,
2020-09-19,5434,722,107028,0.13,18,2247,,
2020-09-20,4966,602,107630,0.12,10,2257,,
2020-09-21,3898,607,108237,0.16,15,2272,,
2020-09-22,4543,474,108711,0.1,13,2285,,
2020-09-23,5520,706,109417,0.13,6,2291,,
2020-09-24,6150,736,110153,0.12,6,2297,,
2020-09-25,5532,705,110858,0.13,14,2311,,
2020-09-26,5288,677,111535,0.13,12,2323,,
2020-09-27,3585,447,111982,0.12,17,2340,,
2020-09-28,4476,722,112704,0.16,8,2348,,
2020-09-29,4234,576,113280,0.14,16,2364,,
2020-09-30,5212,742,114022,0.14,8,2372,,
2020-10-01,5803,747,114769,0.13,15,2387,,
2020-10-02,5437,620,115389,0.11,19,2406,,
2020-10-03,5565,691,116080,0.12,8,2414,,
2020-10-04,5249,633,116713,0.12,9,2423,,
2020-10-05,4143,633,117346,0.15,7,2430,,
2020-10-06,5925,683,118029,0.12,10,2440,,
2020-10-07,6215,698,118727,0.11,8,2448,,
2020-10-08,5836,754,119481,0.13,15,2463,,
2020-10-09,6728,787,120268,0.12,11,2474,,
2020-10-10,7029,825,121093,0.12,8,2482,,
2020-10-11,4560,647,121740,0.14,9,2491,,
2020-10-12,4072,489,122229,0.12,11,2502,,
2020-10-13,5131,494,122723,0.1,9,2511,,
2020-10-14,6622,832,123555,0.13,8,2519,,
2020-10-15,6976,755,124310,0.11,10,2529,,
2020-10-16,6472,615,124925,0.1,17,2546,,
2020-10-17,4188,609,125534,0.15,11,2557,,
2020-10-18,4774,638,126172,0.13,7,2564,,
2020-10-19,2847,436,126608,0.15,10,2574,,
2020-10-20,5683,558,127166,0.1,11,2585,,
2020-10-21,8514,696,127862,0.08,12,2597,,
2020-10-22,7748,792,128654,0.1,15,2612,,
2020-10-23,6909,639,129293,0.09,10,2622,,
2020-10-24,6443,649,129942,0.1,6,2628,,
2020-10-25,6657,685,130627,0.1,5,2633,,
2020-10-26,3655,551,131178,0.15,5,2638,,
2020-10-27,6999,671,131849,0.1,12,2650,,
2020-10-28,7896,825,132674,0.1,13,2663,,
2020-10-29,7939,798,133472,0.1,15,2678,,
2020-10-30,8103,822,134294,0.1,10,2688,,
2020-10-31,7446,731,135025,0.1,12,2700,,
2020-11-01,6482,738,135763,0.11,6,2706,,
2020-11-02,4613,579,136342,0.13,14,2720,,
2020-11-03,5790,677,137019,0.12,11,2731,,
2020-11-04,3201,432,137451,0.13,13,2744,,
2020-11-05,4329,543,137994,0.13,12,2756,,
2020-11-06,7409,1193,139187,0.16,14,2770,,
2020-11-07,6448,746,139933,0.12,11,2781,,
2020-11-08,7009,1021,140954,0.15,17,2798,,
2020-11-09,5347,804,141758,0.15,10,2808,,
2020-11-10,7079,971,142729,0.14,9,2817,,
2020-11-11,6288,1163,143892,0.18,6,2823,,
2020-11-12,7093,887,144779,0.13,7,2830,,
2020-11-13,9154,1125,145904,0.12,26,2856,,
2020-11-14,5521,832,146736,0.15,11,2867,,
2020-11-15,9906,1344,148080,0.14,6,2873,,
2020-11-16,7220,1014,149094,0.14,8,2881,,
2020-11-17,8948,1054,150148,0.12,12,2893,,
2020-11-18,9205,1112,151260,0.12,14,2907,,
2020-11-19,10615,1256,152516,0.12,15,2922,,
2020-11-20,9853,1200,153716,0.12,10,2932,,
2020-11-21,11090,1288,155004,0.12,14,2946,,
2020-11-22,9666,1206,156210,0.12,11,2957,,
2020-11-23,6902,875,157085,0.13,16,2973,,
2020-11-24,9620,1272,158357,0.13,13,2986,,
2020-11-25,9978,1602,159959,0.16,16,3002,,
2020-11-26,10973,1755,161714,0.16,16,3018,,
2020-11-27,11038,1457,163171,0.13,12,3030,,
2020-11-28,10936,1709,164880,0.16,9,3039,,
2020-11-29,8698,1276,166156,0.15,21,3060,,
2020-11-30,7061,1077,167233,0.15,19,3079,,
2020-12-01,9138,1505,168738,0.16,19,3098,,
2020-12-02,10892,2028,170766,0.19,16,3114,,
2020-12-03,14947,1880,172646,0.13,27,3141,,
2020-12-04,13402,2388,175034,0.18,13,3154,,
2020-12-05,14927,2300,177334,0.15,19,3173,,
2020-12-06,9498,1812,179146,0.19,20,3193,,
2020-12-07,7970,1511,180657,0.19,19,3212,,
2020-12-08,11254,1936,182593,0.17,29,3241,,
2020-12-09,8286,1811,184404,0.22,23,3264,,
2020-12-10,13299,2447,186851,0.18,23,3287,,
2020-12-11,14769,2355,189206,0.16,22,3309,,
2020-12-12,16400,2806,192012,0.17,22,3331,,
2020-12-13,12032,2422,194434,0.2,25,3356,,
2020-12-14,9570,1612,196046,0.17,26,3382,,
2020-12-15,12424,2368,198414,0.19,29,3411,,
2020-12-16,13981,2960,201374,0.21,28,3439,,
2020-12-17,16162,3348,204722,0.21,42,3481,,
2020-12-18,16263,3015,207737,0.19,23,3504,,
2020-12-19,17484,3274,211011,0.19,23,3527,,
2020-12-20,13830,2755,213766,0.2,39,3566,,
2020-12-21,10346,1699,215465,0.16,31,3597,,
2020-12-22,16341,3164,218629,0.19,35,3632,,
2020-12-23,14239,3059,221688,0.21,32,3664,,
2020-12-24,16375,3413,225101,0.21,51,3715,,
2020-12-25,11380,2986,228087,0.26,41,3756,,
2020-12-26,9781,2064,230151,0.21,43,3799,,
2020-12-27,9831,2633,232784,0.27,41,3840,,
2020-12-28,7722,2348,235132,0.3,52,3892,,
2020-12-29,15991,4574,239706,0.29,41,3933,,
2020-12-30,15791,4465,244171,0.28,42,3975,,
2020-12-31,14423,4046,248217,0.28,47,4022,,
2021-01-01,11297,2943,251160,0.26,42,4064,,
2021-01-02,6855,2031,253191,0.30,39,4103,,